amount,transaction_time,failed_login_attempts,device_id,ip_address,city,is_fraud
469.2680899768591,18,1,device_42,192.168.196.185,Mumbai,0
3010.121430917521,7,3,device_69,192.168.54.37,Hyderabad,0
1316.7456935454493,6,4,device_19,192.168.211.37,Lucknow,1
912.9425537759532,15,2,device_39,192.168.245.14,Pune,0
169.62487046234628,18,3,device_69,192.168.95.220,Hyderabad,0
169.5962919146052,5,0,device_52,192.168.252.228,Mumbai,0
59.838768608680674,19,1,device_12,192.168.172.102,Lucknow,0
2011.2308644799396,20,0,device_83,192.168.211.42,Mumbai,0
919.0821536272646,10,3,device_47,192.168.1.23,Mumbai,0
1231.2500617045903,4,2,device_76,192.168.247.192,Lucknow,0
20.799307999138623,15,2,device_36,192.168.28.240,Chennai,0
3503.557475158312,6,0,device_63,192.168.132.169,Pune,0
1786.4295433546752,4,4,device_76,192.168.188.18,Jaipur,1
238.687625248947,10,4,device_82,192.168.191.189,Ahmedabad,1
200.67898874966338,14,2,device_51,192.168.49.47,Delhi,0
202.61142283225706,2,0,device_43,192.168.115.39,Jaipur,0
362.75372946047713,4,0,device_34,192.168.217.210,Hyderabad,0
743.9278308608544,22,0,device_97,192.168.6.211,Lucknow,1
565.5370667803367,20,3,device_49,192.168.53.204,Chennai,0
344.2229925539415,4,4,device_18,192.168.25.99,Chennai,1
946.3708738997987,8,4,device_61,192.168.65.133,Hyderabad,1
150.23452872733867,14,3,device_57,192.168.193.8,Kolkata,0
345.51551200240226,2,1,device_93,192.168.39.111,Mumbai,0
456.27721822084703,5,3,device_5,192.168.43.82,Delhi,1
608.934687859775,16,0,device_89,192.168.238.123,Hyderabad,0
1537.936011030912,20,3,device_24,192.168.201.133,Hyderabad,0
222.7358621286903,7,0,device_93,192.168.247.4,Ahmedabad,0
722.0291550331277,20,2,device_64,192.168.108.93,Jaipur,0
897.5047213097606,10,0,device_59,192.168.129.94,Hyderabad,0
47.563849756408544,5,4,device_38,192.168.56.173,Kolkata,1
935.3330206496101,7,3,device_33,192.168.193.3,Hyderabad,1
186.96125197741642,9,0,device_10,192.168.22.200,Hyderabad,0
67.26393087930424,23,1,device_37,192.168.56.18,Jaipur,0
2973.6877935069306,2,2,device_97,192.168.153.176,Hyderabad,0
3370.6303424611724,22,1,device_87,192.168.116.84,Kolkata,0
1652.3315728128766,13,1,device_11,192.168.159.30,Jaipur,0
363.2878599687583,22,1,device_24,192.168.80.66,Bangalore,1
102.77731500250624,13,2,device_88,192.168.209.10,Pune,0
1152.7507630986618,9,2,device_71,192.168.199.59,Pune,0
580.0908425853984,11,2,device_21,192.168.234.51,Mumbai,0
130.15223395444863,5,2,device_20,192.168.244.123,Delhi,0
683.5472281341501,11,1,device_10,192.168.137.54,Chennai,0
34.99372144347908,22,4,device_89,192.168.190.81,Ahmedabad,1
2400.4228873930238,13,4,device_47,192.168.137.9,Kolkata,1
299.4577768406861,1,2,device_47,192.168.101.152,Pune,0
1086.2557985649803,8,3,device_15,192.168.39.203,Bangalore,0
373.5465816576237,9,0,device_44,192.168.136.153,Kolkata,0
734.1108959092286,16,3,device_62,192.168.110.66,Jaipur,0
791.2237979817976,16,3,device_6,192.168.10.117,Bangalore,0
204.38859950790575,2,3,device_66,192.168.152.240,Kolkata,1
3492.8071327362263,18,4,device_76,192.168.208.83,Pune,1
1492.2453771381408,0,0,device_4,192.168.187.159,Chennai,0
2805.094419291582,11,3,device_23,192.168.139.134,Lucknow,0
2252.1519975341967,6,2,device_13,192.168.70.160,Ahmedabad,0
911.054412383275,3,4,device_81,192.168.39.176,Ahmedabad,1
2549.435379269405,9,2,device_31,192.168.13.59,Kolkata,0
92.65545895311563,12,2,device_16,192.168.67.184,Pune,1
218.13469463126745,1,3,device_41,192.168.248.41,Bangalore,1
46.28196568683195,9,2,device_90,192.168.184.35,Pune,0
393.5320868030868,20,0,device_92,192.168.166.249,Pune,0
492.1302917942186,21,2,device_1,192.168.81.195,Hyderabad,0
316.5604432088257,3,3,device_12,192.168.34.76,Lucknow,1
1764.557865240934,17,2,device_56,192.168.216.70,Hyderabad,0
441.22699952987017,4,4,device_50,192.168.234.11,Bangalore,1
329.8028401342492,18,4,device_20,192.168.112.27,Lucknow,1
782.407083207746,1,4,device_66,192.168.48.24,Pune,1
151.89814782062885,11,1,device_36,192.168.18.27,Chennai,0
1620.4835957747312,16,4,device_79,192.168.54.55,Bangalore,1
77.47586881130901,9,4,device_38,192.168.120.233,Kolkata,1
4334.14633958732,1,1,device_22,192.168.21.187,Kolkata,0
1479.4837762415114,5,4,device_61,192.168.115.162,Kolkata,1
221.53944050588595,7,3,device_50,192.168.120.225,Delhi,0
5.537420375935475,18,4,device_96,192.168.58.176,Lucknow,1
1689.896777486126,10,4,device_59,192.168.54.146,Pune,1
1227.0959073870447,11,1,device_20,192.168.3.152,Pune,0
1305.662908787999,8,3,device_36,192.168.129.6,Lucknow,0
1475.2145260435134,1,2,device_97,192.168.19.86,Hyderabad,0
76.92926551379635,7,0,device_15,192.168.115.171,Kolkata,0
443.8926724162325,10,3,device_62,192.168.123.136,Hyderabad,0
123.15010460444965,20,2,device_3,192.168.197.180,Hyderabad,0
1988.5295716582227,3,3,device_93,192.168.73.47,Kolkata,1
976.301191712374,9,2,device_91,192.168.85.28,Jaipur,0
401.818801251301,20,2,device_5,192.168.46.132,Pune,0
65.66806580478288,19,3,device_56,192.168.120.216,Delhi,0
372.48835041035375,15,1,device_31,192.168.136.116,Kolkata,0
393.31421318413135,7,3,device_86,192.168.61.17,Chennai,0
1307.8757839577409,3,3,device_35,192.168.34.20,Kolkata,1
1014.8893589260199,9,2,device_71,192.168.208.202,Ahmedabad,0
2182.251912401515,11,0,device_70,192.168.162.43,Ahmedabad,0
639.0661333763098,13,2,device_26,192.168.10.94,Bangalore,0
127.3723936155019,15,4,device_1,192.168.158.115,Jaipur,1
1249.1263443165994,21,3,device_83,192.168.153.127,Kolkata,0
1430.392753076864,17,3,device_7,192.168.185.110,Pune,0
823.8874948858288,20,1,device_36,192.168.191.107,Jaipur,0
1473.8899667213645,21,2,device_76,192.168.105.71,Pune,1
680.814731510278,20,1,device_84,192.168.175.84,Lucknow,0
739.6788387772671,11,3,device_87,192.168.209.3,Jaipur,0
557.8141939084273,17,2,device_25,192.168.239.46,Mumbai,1
25.74777399011373,6,2,device_94,192.168.232.164,Mumbai,0
114.16743519186583,19,4,device_59,192.168.26.138,Bangalore,1
31.933681293053823,23,4,device_61,192.168.162.206,Jaipur,1
1011.7295509275494,22,0,device_29,192.168.8.55,Mumbai,0
377.39670879509987,6,4,device_95,192.168.91.138,Mumbai,1
710.43717713419,8,2,device_18,192.168.185.114,Chennai,0
2381.2655298459754,0,4,device_41,192.168.79.101,Ahmedabad,1
286.73882298329835,5,0,device_19,192.168.86.45,Delhi,0
